,text,label
10,"Going into Teaching Mrs Tingle, all I wanted was a fun, enjoyable teen comedy that would entertain me for it's running time. Despite a rather good first half hour, the film quickly subsides into a dull, clichéd mess that's about as entertaining as pulling out your eyelashes with pliers. Rusty pliers, at that. 'Scream' writer Kevin Williamson wrote and directed this movie, and proved that Scream may well have been a fluke. Most of the elements of this movie have been seen a million times already in other films; and while it was OK for him to steal elements from other movies in Scream, due to the fact that it's meant as a slasher tribute; here, it just looks like he's completely ran out of ideas. The plot follows the cleverest girl in school, played by Katie Holmes. After being caught cheating along with two of her friends; the three decide to take the teacher that caught them hostage in her own home. However, this isn't just any teacher; it's Mrs Tingle, the meanest bitch in school. She isn't taking being tied to the bed lying down either, as she begins to play mind games to turn her captors against each other.<br /><br />The plot is very similar to the 1997 flick 'Suicide Kings', and a whole host of earlier films. It's actually not a bad idea for a movie, and if Williamson could have populated the film with interesting characters; it could have worked really well. The character of Mrs Tingle is the most interesting in the movie, but she's massively one dimensional, and like all the other characters in the film; is merely a caricature. The acting is largely diabolical, with the exception of Helen Mirren in the title role. She's suitably evil in the role, and while she doesn't have a lot to get her teeth into; she clearly enjoys herself playing the central figure. The teenage cast isn't worth mentioning, with only Katie Holmes standing out; and that's only really because of her star profile, not her acting talents. Williamson has draped nearly every scene in dull soft rock music, which would be really annoying if the film wasn't absolutely terrible anyway. Honestly, this movie does have a few moments that are rather good; but basically, if you want to see a good example of the teen comedy - this isn't the movie that you want to see.",0
11,"I am surprised than many viewers hold more respect for the sequel to this brilliant movie... I have seen all the guinea pigs and this one is easily the best.<br /><br />Even though ive seen the ""making of"", i still have doubts when watching those 35mins of pure torture : its that powerful.<br /><br />A 10 out of 10 because this movie achieved perfectly what it set out to do : be the best fake snuff film ever made.",1
12,"Perhaps I'm one of the only avid horror fans who thinks that the recent overload of Asian shockers is so over-hyped! Films like ""Ringu"" or the ""The Eye""  which are praised all over the world  simply didn't convince me and they looked more boring than frightening. Well, this blunt opinion doesn't go for the South Korean gem ""A Tale of Two Sisters"". This is a stylish and utterly complex psychological terror-tale that REALLY gets under your skin! The plot, based on a local folklore tale, might be a little too confusing to get this film listed among the all-time greatest genre achievements, but the atmosphere and tension-building surely provokes feelings of great respect. This is one of those few films that are impossible to label: the events in ""Two Sisters"" qualify as mind-bending horror as well as intense family drama and a deeply psychological portrait. Besides a mesmerizing story, ""A tale of Two Sisters"" also has all the great elements that I feel are usually missing in Asian horror films like compelling music, good acting and innovative camera-work. The mansion were the family events take place is brilliantly illustrated like a truly creepy place where secrets and danger lurk behind every door. Several sequences (like the dinner with relatives or the nightly appearance in the girls' room) are pretty much the ultimate in eeriness. They really made me feel uncomfortable and I do like to believe that I've seen my share of spooky horror. ""A Tale of Two Sisters"" is a terrific movie-adventure and a definite must see for Asian film fanatics. A little warning for people with a short attention-span, though: this movie forces you to have your eyes and ears focused at at all time. It's also a film that requires repeated viewing, even though no one will never really ""get it"" for a full 100%.",1
13,"Wow...<br /><br />I picked this up at the local Wal-Mart after reading online that it had been released early. I've been following this online for some time, and just had to buy the film.<br /><br />Wow...<br /><br />I guess the thing that really struck me was the editing, or lack thereof. Time and again, characters (usually The Narrator and whoever he is with) are shown walking...and walking...and walking. I am not an editor, but I do know that you can cut between someone leaving point A to show them arriving at point B. There is no need to show almost the entire journey! Wow...<br /><br />I actually ended up feeling somewhat sorry for the actors involved in this. They seem to have been given no direction as to what to do during scenes other than to look scared or look happy, depending on what action was to be added at a later date.<br /><br />Wow...<br /><br />Why it was decided to do almost all the effects using CG is beyond me. Even ILM still employs miniatures sometimes. One of the most distracting uses of green screen in this film is the constant rushing about of (according to the end credits) the same group of people representing the citizenry of different towns and cities, including London. At times these folk are coming and going with no regard as to the angle of the shot or the distance they are from the camera. In one shot in London, there appear to be at least two men over six feet tall walking just behind the narrator's brother (played by star Anthony Piana without his distracting mustache). Not since GETTYSBURG have I seen such a fake piece of facial hair.<br /><br />Wow...<br /><br />Why Timothy Hines talked up this film the way he did is beyond me. It is a turkey, plain and simple. On the plus side (at least for me) it has provided some of the most genuine laugh-out-loud bits of hilarity I have seen in quite a while.",0
14,"Thank God I have fast-forward. I think this is a movie about a guy who rises and falls. Whatever: It's a stupid cliché. It doesn't make any difference. There's this guy, javier Bardem, who constructs buildings or something. It doesn't matter. He is handsome, this Javier Bardem. Who cares? I think there is a car wreck but I watched this in fast-forward, so ...who cares? Car wrecks and handsome heroes who struggle back from them smells like a melodrama to me. Javier likes someone , but he marries Maria de Madeiros instead.She is magnificently, poetically beautiful, with a heart-shaped face. Then Javier has an oral-interface with Maribel Verdu, who washes her vulva, beforehand, for some reason. You would think Maribel Verdu, with her hand-washed vulva would be sexy. No, she is not. This is a tedious story about a bunch of people who don't interest me. Javier, Maribel, and Maria have a threesome: How boring. This film is annoying. I think this might be a minor THEME of (some) Spanish-language movies: The rise and predictable fall of a little guy who succeeds against the odds. Let me just clear this up: this is a high-class melodrama or perhaps soap opera. It is not worth your time, except for a laugh.",0
15,"Without being really the worst science fiction film ever made, or the worst I have seen, 'Time Under Fire' is still much under average. The premises and the first 10-15 minutes are not that bad, it starts as a X-Files story, combining Bermuda triangle mysteries with time travel. Pretty soon elements of other genres (too many) mix together, but the story never takes off beyond the level of interest of a TV series. Soon, 'Time Under Fire' quickly degenerates into a series of clichés, not only mixing altogether too many genres but also being unable to create anything memorable in suspense or special effects that would help viewers remember the movie until tomorrow. Acting is bad, and the rhetoric lines in the script do not help at all.",0
16,"Spoilers... if such a thing is possible... . . . . . . . As a rabid Robin Williams fan, I felt it necessary to buy this film as first on-screen appearance. Wow... I could not imagine a more mind-numbing movie. Essentially, the movie takes one bad joke after another that your uncle Artie would tell you after dinner and dramatizes them. Robin Williams plays a lawyer in a 30 sec skit.<br /><br />I'm all for bawdy humor, but this humor wasn't pleasantly vulgar, or ribald... it was just mind-numbing. There are no redeeming qualities to this film, other than Robin Williams fanatics, like me, who simply have to own every piece of film.",0
17,"This is easily the most disappointing, least gratifying movie of the entire so-called blacksploitation genre, which, by the way, are films we generally enjoy a great deal in our home. Rather than being ""exploitation"" or demeaning, these films actually provide a priceless insight into an era. Well, not Bucktown.<br /><br />In this story, Duke returns to Bucktown to operate the night club left to him by his recently deceased brother. He quickly learns that the city is entirely controlled by a corrupt police force, bleeding protection money out of all the local businesses. Duke resists, and determines that he will rescue the city from the corrupt police. Unfortunately, he does so by calling in a posse of his friends (these people are vaguely explained as some former black-militants who have worked with Duke on ""jobs"" in the past) and they simply murder the entire police department in cold blood. And literally in the presence of hundreds of witnesses who do nothing to stop it. Ignorance is not a justification for murder, and it would have been much more entertaining to see the Cracker Police suffer for their actions as opposed to merely getting whacked in the street. While revenge is a ubiquitous and generally satisfying theme in films of this genre, it is a far cry from seeing Pam Grier track down the thugs who off'ed her family, cuss them out, give them a jujitsu ass-kickin' and set their 'fro on fire. That has art (and a reason for existing) and merits a level of respect that is quite undeserved by simply shooting someone in the back. Of course, in this bizarre tale, she is playing a woman completely under The Man's thumb, afraid of the Crackers who run her town and oppress her people. Indeed, her advice to Duke is, ""Run, man, they gonna kill you!""<br /><br />Following the sickening and gratuitous violence, we are expected to believe that the town's mayor wholeheartedly condones the actions of Duke and his friends, congratulating them and offering to throw a parade in their honor, as opposed to, say, calling the district attorney to press capital murder charges against them and have them taken into custody. Duke's posse declines the parade and instead opts to fill the numerous vacancies on the police force created by their recent killing spree. They immediately prove to be even more corrupt than their Cracker Police predecessors (to quote the mayor, ""They are ten times worse than what we had before!""). Now Duke finds he must again rescue the citizens of Bucktown from corrupt, protection-racket law enforcement officials and again make it safe for decent folk to operate a prostitution business in the streets. Unfortunately, Duke has already lost all moral high ground and sympathy due a hero, as he was a willing participant in the murder of the original police force. I wouldn't have cared one way or the other if he had rescued Bucktown or gotten plugged himself at this point. I suppose we are to be entertained by the clever way Duke has to outsmart the new Police Goons, but in reality the film has now just become an opera of gratuitous violence, Duke murders all of his former friends and allies in cold blood with the same absence of compassion he had when gunning down the Cracker Police. Duke is a pig.<br /><br />Finally, when everyone in town but Duke, Aretha, and the employees of the local brothel are dead and bleedin' in the street, our hero and heroine walk off into the night as though they had some admirable qualities or redeeming values; they don't. Duke is merely a murderous thug and Aretha his enabling misogynist accomplice. If you are interested in this genre of film, by all means, I highly recommend them, see Coffy, Foxy Brown, Truck Turner, Blacula, Sheba Babybut if in the process you should run across this DVD, throw it as far away as you possibly can! Drop it like it's hot! It should be treated as one would treat a glowing puddle of nuclear waste! There is no single film in the entire Blacksploitation era that is not dramatically more entertaining, satisfying and populated with more sympathetic and admirable characters than this piece of slime, obviously written by and targeted at some hormonally imbalanced high school sophomores.",0
18,"Quite simply the best reality show ever made. The first two seasons (the only ones that matter) are on Hulu. I challenge anyone to watch the first three episodes of season 1 and not like it. I guarantee you will finish watching the season. Then I guarantee that you will watch season 2. <br /><br />Other quick reasons to watch it: 1. Anderson Cooper is hilarious 2. The locations in Europe are awesome 3. The games are mentally challenging 4. It's very interactive 5. In one episode a player responds to another player's desperate, ""I'm trying as hard as I can!"" with an equally desperate, ""Not necessarily."" <br /><br />Can you figure out...Who Is The Mole?",1
19,"""Nuovomondo"" was a great experience. Many filmmakers tell their stories to a big extent via dialogue. Emanuele Crialese directs his film very visually driven. For everything he wants to tell, he finds powerful images that are able to stand for themselves. Thus, he understands film as a medium that primarily tells its stories over the pictures on screen. Particularly European cinema is often very dialogue-driven (and many of the young US-American directors are strongly influenced by that). Crialese's opposite attitude was really the point, that made this film special for me. It has also a very interesting topic that is wrapped up in a quite unusual story and told with humour. Vincenzo Amato is outstanding as family head Salvatore, as well as the amazing Charlotte Gainsbourg, who I enjoy watching in every single one of her movies. There are many great sequences in this movie. Just to pick one: When the ship leaves Italy and the people just quietly stare. This scene is great, particularly if you consider the pop cultural references that go with it (Titanic!).",1
20,"Just picked up this film for a buck at National Wholesale Liquidators, and after watching it, I feel like I got ripped-off.<br /><br />I don't know that I've seen a worse film than this. Honestly. And I would never write a negative review of a film had I not such enormous respect for the subject matter, that is, Stephen Foster and his music.<br /><br />First, what is it? It's a musical biography? Yeah, lot's of tunes by Foster then interspersed here and there are these pseudo-Broadway-Jerome Kern-type numbers that reek more than the Mississippi delta. I mean, somebody got PAID to write this drivel? Secondly, the REAL story of Foster is a fascinating one. Why not even come CLOSE to it? Thirdly, what did they have on the great Ray Middleton to get him to do this film? Pictures of him with small boys?? With communists? What a waste of a great talent.<br /><br />So, friends of Foster, and the truth, and good entertainment, be afraid... be very, very, afraid.",0
21,"Now that I have seen it, it was NOT what I was expecting, at least not until the very END. I read some of the other reviews before picking up a used copy of this from Amazon and was glad I did. Having been first introduced to Park's work via Oldboy, I was curious to how he'd treat the genre and was rather pleased at the clever manner in which he executed it. I think Park has matured in terms of presentation because while Oldboy and some of his other work has very nice and deliberate camera work, he has some nice innovations in Bakjwi that I had not seen in other vamp movies. For example the scene where Father Hyeon is realizing the ""beast"" growing within him as he gives his shoes to the always barefoot Tae-ju and he is able to SEE the blood pumping through Tae-ju's skin and his eye's widen in blood-lust for it. That was a nice effect. I was also happy that Park did not CG the crap out of the movie and the is in fact very little CG at all. I came away from Bakjwi being totally set up to think one thing was going to happen and get taken for a ride in true Park fashion. Additionally, I liked that Park played with a little symbolism and reversal whereas we don't usually get this is Asia cinema. During the beginning of the movie we see the plot develop slowly and get to know the characters and you feel like an invisible observer to the thing that are transpiring. Park treats you a little like Ghost of Christmas future coming to show you, albeit a bit boringly, what life is like outside your world. Ah, but then we start to feel a little kinship with the befallen Father and his burgeoning lust for Tae-ju and conflict with duty as a priest. We almost start to root for them even until Park not so nicely slaps us back into reality and we really see that in the end Bakjwi is a movie about moral dilemma and right and wrong. It won't spoil it if I tell you to watch Bakjwi from the mindset of a priest and I think you'll come away from it with what Park wants you to come away with. Don't expect Oldboy and stylization because that's not what you'll get here. A very interesting take on the genre indeed. Those who missed the MANY literary elements and religious allusions watched some other movie, not Bakjwi. After Bakjwi, watch Let The Right One IN, it's also not what you'll expect either.",1
22,"Reign Over Me is a success due to the powerful work by Adam Sandler and Don Cheadle. While comedic actors going dramatic has been seen as somewhat of a distraction, Sandler is no stranger to playing more serious roles. Most of the characters he portrays have an unstable temperament and a vulnerability that can burst at any moment. He might even be typecast for characters with such hidden anger problems. However, this performance has some considerable dramatic weight, unlike his roles in less comedic fare like Punch-Drunk Love and Spanglish.<br /><br />In the film, Alan Johnson (Cheadle) runs into his old college roommate, Charlie Finerman (Sandler), whom he hasn't seen in several years. Five years before, Charlie suffered the overwhelming loss of his wife and three daughters in a plane crash. Charlie barely even recognizes Cheadle's character due to the repression of his memories and consequent reclusive childish lifestyle since the accident. It isn't until Alan persists in engaging him in conversation that Charlie remembers who he is. Their renewed relationship that follows will allow Finerman to have a friend who doesn't speak about his loss, eventually enabling him to confront the thoughts and feelings he has suppressed on his own terms.<br /><br />Though writer-director Mike Binder doesn't show much sense of an individual style and some of his shots and transitions are a bit awkward, he does have a knack of getting decent to great performances from his actors while being a talented and funny writer. He shot this film with a digital camera, as more and more filmmakers are doing today, enabling the crew to shoot the night scenes with limited lighting. This kept the colorful backgrounds of New York City in focus, but resulted in creating frequent digital grain, which resembles blue specks scattered and moving on the screen.<br /><br />Almost every main character in Reign Over Me gives a great performance. Jada-Pinkett Smith and especially Liv Tyler are memorable in their respective roles as a frustrated wife to Cheadle's character and a psychiatrist. However, it is Sandler and Cheadle that give some of their finest work to date. They completely owned this movie. Sandler actually plays a character that doesn't outwardly resemble or act like himself at all, partially credited to his Bob Dylan-esquire wig. Though Cheadle's character has more screen time than Sandler, they both should be considered to be leading roles, as they equally support and help each other throughout the film.<br /><br />Music also plays a great part in this film, especially the title song ""Reign Over Me,"" or ""Love, Reign O'er Me"" by The Who, and later covered by Pearl Jam. In one of the most powerful moments of the film, Binder shows Sandler using music to shut out his feelings and memories, but this particular song provokes such intense emotion that rather than diminishing his anger, it incites his emotions. All an all, Reign Over Me is an enjoyable, sad, yet many times funny film, driven by its amazing leading performances.",1
23,"I saw this little Belgian gem two days after seeing 'American Teen'. Make no mistake about it, adolescence is a roller coaster ride, be it American or European. 'Naissance des Pieuvres' (or as it is being called in the U.S. 'Water Lillies')is a tale of a young 15 year old girl (played by Pauline Acquart,who at times resembles a young Scarlett Johansson)acts the cool, withdrawn girl who wants to be on the school swim team, just to be close to another attractive girl (Adele Haenel). It's more than obvious that Marie is more than attracted to Floriane. Figuring among all of this is Marie's rather plump, unattractive friend, Anne, who just wants a boyfriend like any other girl her age. Along the way,we are shown the usual array of teen pastimes (broken hearts,shop lifting,alcohol and/or drug use,casual sex,etc.). This is a quiet little film that takes time to work it's way into your system (Michael Bay fans,take note:the pacing here is s-l-o-w,so steer clear),but if you have no problem with this, Water Lillies is a charmer. No rating here,but would pull down a hard ""R"", due to language,nudity,adult situations.",1
